region,income_bracket,caste_category,credit_score,approved,model_prediction
Urban,Mid,ST,596.3854925395601,0,0
Urban,High,SC,663.7728220739803,1,1
Rural,High,ST,624.4568519389172,0,0
Rural,Low,ST,685.8866792794981,0,0
Urban,High,SC,493.5093167347574,0,0
Rural,High,ST,647.7474484181367,0,0
Urban,Low,OBC,626.3065541492927,1,0
Urban,Mid,OBC,719.7491270369521,1,1
Urban,Mid,OBC,698.8527491180464,1,1
Urban,Low,SC,586.2927695281305,0,0
Urban,Low,SC,616.1886624794664,0,0
Urban,Mid,OBC,754.567147660998,1,1
Urban,Mid,General,630.9449959960527,1,0
Urban,Low,ST,703.1289259095981,1,1
Urban,Low,ST,709.8051475453901,1,1
Urban,Mid,ST,540.4617566121224,0,0
Urban,Mid,ST,590.0693608349816,0,0
Urban,High,SC,625.8200537957329,1,0
Urban,High,OBC,653.2710295912175,1,1
Rural,Mid,SC,663.0873962320643,0,1
Rural,Mid,ST,723.7902172348826,1,1
Urban,High,ST,589.2901343548166,0,0
Rural,High,General,643.7903183046537,0,0
Urban,Mid,SC,641.0332779646835,1,1
Rural,Low,SC,740.6879589271755,1,1
Urban,High,OBC,802.9771326113611,1,1
Rural,Low,SC,661.7723821071892,0,0
Urban,Mid,SC,552.6459445744176,0,0
Rural,Low,ST,793.1222264819802,1,1
Urban,Mid,OBC,531.2797299533403,0,0
Urban,Low,General,628.4144396283189,1,1
Urban,High,SC,678.533219782845,1,1
Urban,Low,General,785.870414801707,1,1
Urban,Mid,OBC,596.4669417241696,0,0
Urban,Low,SC,618.8703537644096,0,1
Urban,Mid,General,662.5605044708218,1,1
Urban,Low,ST,583.3557557552658,0,0
Urban,Mid,SC,652.9856429724757,1,1
Rural,Low,General,672.3681954607424,0,0
Urban,Mid,SC,652.5067813836811,1,1
Urban,High,OBC,561.4005827051155,0,0
Rural,High,SC,781.2522134745154,1,1
Urban,Low,OBC,615.0328147568435,0,0
Urban,Mid,General,698.1575770679715,1,1
Urban,High,SC,691.6674882880287,1,1
Urban,Mid,SC,651.4026518251648,1,1
Rural,Mid,General,645.31275020464,0,0
Urban,High,SC,630.9058700292403,1,1
Rural,High,SC,650.1490574977674,0,0
Rural,Mid,OBC,614.6058441813634,0,0
Urban,Mid,OBC,661.7216091816164,1,1
Urban,Mid,General,687.3908728157287,1,1
Urban,Low,ST,634.9612886131471,1,1
Urban,Mid,ST,694.9027895720924,1,1
Rural,Low,General,611.279488077102,0,0
Urban,Low,ST,696.9412599951819,1,1
Urban,Mid,OBC,715.70372186275,1,1
Urban,Mid,General,695.4666245727606,1,1
Urban,Mid,General,591.3255609695908,0,0
Urban,Mid,ST,613.9117079724303,0,0
Urban,Mid,ST,617.4631871035766,0,1
Urban,Low,ST,665.3047771569157,1,1
Urban,High,SC,753.3364885526214,1,1
Urban,High,OBC,722.0679778421696,1,1
Urban,Low,SC,632.883000398386,1,1
Rural,High,OBC,767.6962328934233,1,1
Urban,Low,SC,655.9309221270083,1,1
Rural,Mid,General,776.3975307783928,1,1
Urban,Low,ST,502.6933416752346,0,0
Rural,Mid,SC,675.654780086241,1,1
Urban,Mid,General,760.8453998134069,1,1
Rural,Low,OBC,704.0584859992432,0,1
Rural,Low,SC,610.8746651557791,0,0
Urban,Mid,SC,628.1680946232277,1,0
Urban,Mid,SC,586.1932050576326,0,0
Rural,Mid,OBC,637.4795695501961,0,0
Rural,Mid,OBC,746.4061788652449,1,1
Rural,Mid,ST,634.9832728389684,0,0
Urban,Mid,OBC,529.7589657940009,0,0
Urban,High,General,609.705247229283,0,0
Urban,High,ST,702.0684286470378,1,1
Urban,Mid,General,646.0526998340823,1,1
Rural,High,General,508.0567950059334,0,0
Urban,Low,ST,625.465609396107,1,1
Rural,Mid,ST,717.2021647914207,1,1
Urban,High,General,522.3571226932588,0,0
Rural,Low,ST,778.6999863435303,1,1
Urban,Mid,SC,606.2107910727119,0,0
Urban,Low,OBC,706.5858054545307,1,1
Rural,Mid,OBC,614.5607281199973,0,0
Rural,Mid,ST,650.1577658339585,0,1
Urban,Low,OBC,771.756537847248,1,1
Rural,Low,ST,566.8660115038183,0,0
Urban,Mid,SC,654.754689215881,1,1
Urban,Mid,ST,725.5141229963264,1,1
Urban,Mid,General,732.4238348186288,1,1
Urban,High,ST,704.8084121865722,1,1
Rural,Low,General,576.259101324576,0,0
Urban,Mid,OBC,631.9889774288089,1,1
Rural,High,General,666.5776355556364,0,1
Urban,High,ST,764.6729580513546,1,1
Urban,High,SC,607.5416716700411,0,0
Urban,Mid,OBC,630.0454635333414,1,1
Urban,Mid,SC,550.8871342844308,0,0
Rural,Mid,OBC,687.4125848053717,1,1
Urban,Low,General,634.4605731399337,1,1
Urban,Low,General,636.2596040133546,1,0
Urban,Low,General,755.4913801770635,1,1
Urban,Mid,General,615.2807273989397,0,1
Urban,High,ST,588.3955411981374,0,0
Rural,High,OBC,717.0100957934444,1,1
Urban,Mid,OBC,714.1605611896944,1,1
Rural,Mid,ST,630.5473665581193,0,0
Urban,Low,General,588.1782661048352,0,0
Rural,High,SC,720.1161147351381,1,1
Urban,Low,ST,620.2745530981799,1,0
Rural,Mid,ST,729.7271140959019,1,1
Rural,Mid,General,642.585836120591,0,0
Urban,Low,ST,602.622582333644,0,1
Rural,Mid,SC,693.2032155995379,1,1
Urban,High,General,587.5835697900525,0,0
Urban,Mid,SC,708.3792008383577,1,1
Urban,Low,SC,691.8260960230839,1,1
Urban,Mid,OBC,759.9724709532313,1,1
Rural,Mid,SC,611.5250214230374,0,0
Urban,High,SC,477.1764607978544,0,0
Urban,Low,OBC,733.2532829385582,1,1
Rural,Low,ST,749.8606081075577,1,1
Urban,Mid,SC,669.9465257751323,1,1
Urban,Mid,General,670.6127489216906,1,1
Urban,High,OBC,661.0755050432715,1,1
Urban,Low,ST,648.4307635146097,1,1
Urban,Low,SC,548.1796046149808,0,0
Urban,Low,General,646.8117326454459,1,1
Urban,Mid,General,689.8965787266092,1,1
Rural,Low,SC,590.4220324636093,0,0
Urban,High,General,708.3803536811769,1,1
Rural,Mid,SC,644.3931569469512,0,0
Urban,Low,ST,656.3678489949757,1,1
Urban,Low,ST,621.922338239719,1,0
Urban,Mid,ST,773.0446128060601,1,1
Urban,Low,General,809.017948247412,1,1
Urban,Low,OBC,756.3989636133585,1,1
Urban,High,General,537.3191855846762,0,0
Urban,Mid,ST,647.7028922981241,1,1
Urban,Mid,ST,748.2036432442204,1,1
Urban,Low,SC,577.353557098379,0,0
Rural,Mid,OBC,614.4660722745484,0,0
Urban,High,OBC,643.8130635573916,1,1
Urban,Low,General,580.5398206755359,0,0
Rural,High,General,687.4402305001303,1,1
Rural,Low,ST,587.2157417425807,0,0
Urban,Mid,ST,754.4357266115134,1,1
Urban,High,General,688.9688066677975,1,1
Urban,Low,ST,716.9000652381443,1,1
Urban,Mid,General,496.96164823342144,0,0
Urban,High,General,662.5869341281434,1,1
Urban,Low,SC,658.1075213538819,1,1
Urban,Low,General,539.868857623318,0,0
Urban,Mid,General,682.5666118982086,1,1
Urban,Mid,OBC,720.5316556632822,1,1
Urban,Mid,General,655.4331628067072,1,1
Urban,Low,OBC,574.2726574329085,0,0
Urban,High,ST,602.3528766832305,0,0
Urban,Low,ST,636.4575310213478,1,0
Urban,Mid,ST,573.860779084665,0,0
Urban,High,General,828.5183970670793,1,1
Rural,High,General,610.7422494115941,0,0
Urban,Low,ST,619.9638796014347,0,1
Urban,Low,General,594.8986204742902,0,0
Urban,Low,OBC,554.7130032239529,0,0
Urban,Mid,OBC,660.5280845127367,1,1
Rural,Low,SC,682.9277161624582,0,0
Urban,Mid,SC,669.0546012015747,1,1
Urban,Low,ST,543.8351004305954,0,0
Urban,High,ST,649.8286066454654,1,1
Urban,Low,ST,535.7115726719171,0,0
Urban,Mid,OBC,747.5246423442281,1,1
Urban,Low,OBC,755.5126247331475,1,1
Rural,Mid,OBC,645.5923559773345,0,1
Rural,Low,General,624.0596137580851,0,0
Urban,High,SC,516.5743293204404,0,0
Rural,Mid,ST,660.8700276911763,0,0
Rural,Low,OBC,669.0217348791482,0,0
Urban,High,ST,818.1245153767318,1,1
Urban,High,OBC,470.75918233152447,0,0
Urban,Low,ST,715.2857516693487,1,1
Rural,Mid,ST,763.9537782825718,1,1
Urban,High,ST,617.3030863762004,0,1
Urban,Mid,SC,698.6494320301543,1,1
Urban,Low,ST,691.6483123815527,1,1
Rural,Low,SC,610.9129339065086,0,0
Urban,Low,General,681.5584753209615,1,1
Urban,High,SC,695.8168228108981,1,1
Urban,Low,SC,615.9462586306589,0,0
Rural,High,ST,624.4495751915152,0,0
Urban,Mid,OBC,645.1274749931554,1,1
Urban,High,ST,651.4994779527526,1,1
Rural,Mid,SC,648.9702032505193,0,0
Urban,Mid,SC,789.7289852697802,1,1
Rural,Low,ST,689.6444183594133,0,0
Rural,Mid,OBC,660.3880112341975,0,0
Urban,Mid,ST,549.3687620975882,0,0
Rural,Mid,General,729.968259389228,1,1
Rural,Mid,OBC,625.3996086910673,0,0
Urban,Mid,OBC,693.6432234014708,1,1
Urban,Low,ST,667.0390678523127,1,1
Rural,Mid,ST,409.98466596140497,0,0
Rural,Low,SC,624.5457981933448,0,0
Urban,Low,ST,730.1153947653936,1,1
Urban,Mid,ST,617.3039084654341,0,0
Urban,High,General,705.0325405761364,1,1
Urban,Low,OBC,661.3713887947631,1,1
Urban,High,ST,575.6336865573218,0,0
Urban,Low,OBC,677.3685192571485,1,1
Urban,Mid,OBC,628.9275224623981,1,1
Urban,Mid,ST,579.6868761338624,0,0
Rural,Low,OBC,609.3730574021981,0,0
Rural,Mid,OBC,669.0804116906037,0,1
Rural,Low,SC,676.7860812668955,0,0
Urban,High,General,600.3508639838726,0,1
Urban,Low,ST,567.5920982362168,0,0
Rural,Mid,SC,696.5330096247773,1,1
Urban,Low,SC,616.121317469173,0,0
Rural,Mid,OBC,645.2334250499425,0,0
Rural,Low,SC,517.4437460428273,0,0
Urban,Low,OBC,590.5769471644948,0,0
Rural,Low,OBC,621.472585200966,0,0
Urban,Mid,OBC,594.9380386582621,0,0
Urban,High,ST,522.2019655437836,0,0
Urban,Low,SC,628.9217354017779,1,0
Urban,Mid,General,674.8542384585022,1,1
Rural,Low,ST,639.1777009618173,0,0
Urban,Low,ST,721.693806836929,1,1
Rural,Mid,ST,721.7879326824622,1,1
Urban,Low,General,635.915005556727,1,0
Urban,Mid,ST,572.7107582232159,0,0
Urban,Low,General,761.0091672984761,1,1
Urban,Mid,OBC,694.0198935097603,1,1
Urban,High,General,498.8132652228308,0,0
Rural,Mid,OBC,761.8525485667503,1,1
Urban,Mid,OBC,622.7089135860969,1,1
Urban,High,SC,786.5591871521243,1,1
Urban,Low,ST,571.4352245986703,0,0
Urban,High,ST,755.4704637789578,1,1
Rural,Low,ST,643.4969133223664,0,0
Urban,Low,OBC,646.1515921916291,1,1
Urban,Low,OBC,634.8538539296646,1,0
Urban,Low,General,604.7726068650667,0,0
Rural,Low,OBC,649.1307475019199,0,0
Rural,Low,ST,600.0413362314033,0,0
Urban,Mid,OBC,575.9136321031523,0,0
Rural,Low,OBC,645.0027955050629,0,0
Urban,Mid,General,615.5580437688475,0,0
Urban,Mid,ST,819.241148984924,1,1
Rural,High,ST,671.7902903481144,0,0
Rural,Mid,ST,659.6036289978289,0,0
Rural,High,OBC,595.1895097320679,0,0
Rural,Mid,ST,513.4365005361074,0,0
Rural,Low,ST,624.4221551933867,0,0
Urban,High,ST,631.9654920422145,1,1
Rural,Low,SC,817.7904658043767,1,1
Urban,High,ST,626.5400853834984,1,0
Rural,High,General,717.4508355290502,1,1
Urban,High,General,642.3699229644868,1,1
Urban,Low,General,762.7691903873036,1,1
Urban,High,OBC,644.6411652742872,1,1
Urban,Low,ST,655.6361407796331,1,1
Urban,High,SC,607.6426227406844,0,1
Rural,Low,General,596.1439622365539,0,0
Rural,Mid,ST,559.8733525491787,0,0
Urban,Low,General,563.1335519478879,0,0
Rural,Low,SC,677.7318794014492,0,0
Urban,Mid,ST,708.1887070546933,1,1
Urban,Low,SC,631.883738000262,1,0
Rural,High,General,696.711791221637,1,1
Urban,Low,ST,687.5005200533252,1,1
Urban,Low,ST,601.6152759224345,0,0
Rural,High,OBC,485.6057615847417,0,0
Urban,High,General,700.2587716642367,1,1
Urban,High,SC,768.3009208740889,1,1
Rural,Mid,ST,682.6154757055182,1,0
Urban,Mid,OBC,643.0595389805396,1,0
Rural,Mid,ST,613.9755883899016,0,0
Urban,Low,OBC,795.0741191878774,1,1
Urban,Mid,ST,640.3475324838358,1,0
Rural,High,General,662.1787450778778,0,1
Rural,Mid,ST,763.2226896769108,1,1
Urban,Mid,ST,479.37030830787114,0,0
Rural,Low,General,723.1551465340725,1,0
Urban,High,OBC,657.483458140373,1,1
Urban,Mid,ST,664.1684304620914,1,1
Urban,High,ST,674.11378046967,1,1
Rural,Mid,OBC,641.8581534012511,0,0
Urban,Mid,ST,644.5584057095743,1,1
Urban,High,ST,676.4998849731984,1,1
Rural,Mid,ST,707.8402347322215,1,1
Urban,High,SC,729.0817245500888,1,1
Urban,Mid,General,747.5031616258252,1,1
Rural,Low,SC,661.0769788542752,0,0
Urban,Mid,SC,733.7231392312478,1,1
Urban,Mid,ST,696.6793885271089,1,1
Rural,Low,General,544.3087601452517,0,0
Urban,Mid,SC,520.6503190437113,0,0
Urban,Low,General,712.6532348824376,1,1
Urban,Mid,OBC,581.2723498737929,0,0
Urban,Mid,OBC,721.0364179725495,1,1
Urban,High,General,631.2466155464969,1,1
Urban,Mid,OBC,693.4707885516076,1,1
Urban,Mid,ST,567.6215191017352,0,0
Urban,Mid,ST,652.7845308787101,1,1
Urban,Mid,ST,573.4659019819926,0,0
Urban,Mid,General,540.4069957879182,0,0
Urban,Low,ST,789.4043195270557,1,1
Urban,High,SC,656.5339856123337,1,0
Urban,High,ST,508.40263783266374,0,0
Rural,Mid,SC,715.8466572938928,1,1
Rural,Low,SC,596.8079848595173,0,0
Urban,Mid,OBC,630.3753082324843,1,1
Urban,Low,OBC,549.4669304253314,0,0
Urban,Low,SC,492.85773299561663,0,0
Urban,Mid,SC,686.567333683708,1,1
Rural,High,SC,674.4684885213246,0,0
Rural,Mid,General,659.9194293392031,0,0
Urban,Low,SC,553.1360009555544,0,0
Rural,Low,General,799.790950554038,1,1
Rural,Mid,OBC,799.5826769846021,1,1
Rural,Mid,SC,634.1399842557755,0,0
Rural,Low,SC,708.1297746722623,0,1
Rural,Mid,General,735.6758644975084,1,1
Urban,Mid,ST,631.6167384293735,1,0
Urban,Low,ST,737.0158933528172,1,1
Urban,High,SC,681.9385737254045,1,1
Urban,Mid,ST,553.3332277280306,0,0
Urban,High,OBC,614.7790905871111,0,0
Rural,Low,OBC,698.420631243124,0,0
Urban,Low,SC,668.2142544661735,1,1
Urban,Low,ST,726.1899661723421,1,1
Urban,Low,ST,582.9119485117491,0,0
Urban,Mid,General,662.3643082283786,1,1
Urban,High,General,671.9443109620065,1,1
Urban,Mid,OBC,657.97209472467,1,1
Rural,Mid,OBC,658.9133561115246,0,0
Urban,High,SC,604.8069956424921,0,0
Rural,Mid,ST,698.4079693224802,1,1
Urban,Mid,SC,534.7397586856674,0,0
Urban,Low,General,576.3149319606733,0,0
Rural,Low,OBC,723.0255442310793,1,0
Urban,Mid,OBC,747.2532221671737,1,1
Rural,High,SC,686.2577264919261,1,1
Urban,Mid,ST,580.452445373446,0,0
Rural,Mid,General,639.3827598088088,0,0
Urban,Mid,General,630.1544492046702,1,0
Urban,Low,SC,674.6570560520337,1,1
Rural,Mid,General,597.5057681159983,0,0
Urban,Low,OBC,662.7385522265103,1,1
Urban,Mid,General,779.5911117728716,1,1
Urban,Low,OBC,510.8940522677845,0,0
Urban,Low,General,678.9184227949389,1,1
Rural,High,OBC,592.067541827142,0,0
Urban,Low,SC,621.7677116384069,1,0
Urban,Mid,ST,648.8639618301452,1,1
Urban,Low,SC,717.2032960033291,1,1
Urban,Mid,OBC,518.880128185858,0,0
Urban,Mid,ST,710.5617682905496,1,1
Urban,Mid,ST,600.5104434250665,0,0
Rural,Low,General,538.1928311522512,0,0
Urban,Low,SC,625.2055174848965,1,0
Urban,Mid,ST,658.591239886563,1,1
Urban,High,OBC,556.2401769332458,0,0
Rural,Mid,OBC,639.1205680595156,0,0
Urban,Low,OBC,678.3864649635178,1,1
Urban,Mid,ST,626.8409905045147,1,0
Urban,Mid,General,644.9964431582338,1,1
Urban,Mid,SC,706.7273334183367,1,1
Rural,Low,SC,658.9339842104384,0,0
Urban,Low,SC,576.4395217764047,0,0
Rural,Mid,SC,637.7235408492988,0,0
Urban,Mid,General,687.8729130483603,1,1
Urban,Mid,OBC,701.6431700570821,1,1
Urban,Low,ST,613.200350021372,0,0
Urban,Low,General,690.9263859267885,1,1
Urban,Mid,General,679.395108899042,1,1
Urban,Mid,OBC,736.7337182800842,1,1
Urban,Low,SC,617.1077765097776,0,1
Urban,High,General,684.4149003051035,1,1
Urban,Low,OBC,575.9573752978689,0,0
Rural,High,General,696.909552816142,1,1
Urban,Mid,General,583.6769599225025,0,0
Urban,Mid,ST,711.5007510184698,1,1
Rural,Mid,OBC,446.09277862684036,0,0
Rural,Mid,ST,551.2074738378758,0,0
Urban,High,OBC,560.199425732158,0,0
Rural,Mid,ST,713.1707648455871,1,1
Urban,Low,ST,607.9268370760113,0,1
Rural,Mid,SC,595.2742775884993,0,0
Urban,Low,ST,631.5452166945934,1,0
Urban,Low,General,581.7628268923831,0,0
Urban,Low,ST,670.5574915853376,1,1
Urban,Mid,General,715.3438440902388,1,1
Urban,High,General,648.4303411711729,1,1
Urban,Mid,ST,555.6664864319339,0,0
Urban,Low,ST,695.4626672155913,1,1
Urban,Low,ST,678.0166305217351,1,1
Urban,Mid,General,607.7844692673758,0,0
Urban,Low,ST,727.3279202917688,1,1
Urban,Mid,General,708.8664066187141,1,1
Urban,Mid,General,528.7553736638209,0,0
Urban,Mid,SC,773.5763910625553,1,1
Urban,Mid,ST,528.550272018855,0,0
Urban,High,General,631.6629059330799,1,1
Rural,Low,General,676.2817999141636,0,0
Rural,Mid,SC,663.2845047323058,0,1
Urban,Mid,General,549.3865733500272,0,0
Rural,Mid,SC,613.4809235495522,0,0
Rural,Low,ST,656.05830532944,0,0
Urban,High,ST,629.1871029768984,1,1
Urban,Mid,ST,555.8877124723429,0,0
Rural,Mid,General,610.3767288474286,0,0
Urban,Mid,OBC,502.2482442747794,0,0
Urban,Low,General,696.0739599250066,1,1
Rural,Low,ST,637.794591274376,0,0
Urban,Mid,OBC,663.7321490991206,1,1
Urban,High,ST,681.8245604860973,1,1
Rural,Mid,SC,637.4810236822048,0,0
Urban,Low,ST,590.547695872627,0,1
Rural,Low,SC,651.2685887050419,0,0
Urban,Mid,SC,700.3309355021566,1,1
Rural,Low,ST,641.9754065404643,0,0
Urban,Low,ST,535.7232056330453,0,0
Urban,Mid,General,651.150023407733,1,0
Urban,Mid,General,659.6676631421293,1,0
Rural,Mid,OBC,762.6682538339259,1,1
Urban,High,General,644.0517247265639,1,1
Urban,High,General,631.6838398887902,1,1
Rural,Low,OBC,642.3994876637463,0,0
Rural,Mid,SC,612.1729719212889,0,0
Urban,Mid,SC,816.3691301418196,1,1
Urban,High,OBC,701.5021379903275,1,1
Urban,Low,OBC,702.2561312998832,1,1
Urban,Low,ST,734.8184185095793,1,1
Urban,High,SC,632.54954903388,1,1
Urban,Mid,OBC,609.3688217385791,0,0
Rural,High,General,706.0308121295215,1,0
Urban,Mid,OBC,677.761538615198,1,1
Urban,Low,General,737.9979941059239,1,1
Urban,Mid,General,658.5411070613338,1,1
Urban,Mid,SC,644.5828604881054,1,1
Urban,High,OBC,559.9183426757534,0,0
Urban,Mid,SC,548.6891855284308,0,0
Urban,High,OBC,683.9638234970358,1,1
Urban,Low,SC,669.5778424390049,1,1
Urban,Mid,ST,762.3572658863804,1,1
Urban,High,General,672.009184494991,1,1
Rural,Mid,General,569.706793375326,0,0
Rural,High,SC,546.8275814211979,0,0
Urban,Low,OBC,649.4715163787782,1,1
Urban,Low,ST,599.8763390280551,0,0
Urban,Low,SC,693.2657500816788,1,1
Urban,High,SC,595.3914476496569,0,0
Urban,Mid,ST,623.3459060981561,1,1
Rural,Low,SC,688.4142289214639,0,0
Urban,High,ST,645.6491840575218,1,1
Urban,Mid,General,791.1672881068174,1,1
Urban,Low,General,651.1430806527077,1,1
Rural,Low,OBC,650.4750451564804,0,0
Urban,Low,SC,685.3328900781823,1,1
Urban,Low,General,490.0904856320168,0,0
Urban,Low,ST,644.4189468497809,1,0
Urban,Mid,OBC,574.2635319877569,0,0
Urban,Low,ST,450.95920834094466,0,0
Urban,Mid,SC,573.7052853475409,0,0
Urban,Low,OBC,619.8913919765712,0,1
Rural,Mid,ST,680.0441999130358,1,1
Rural,Mid,General,608.1036787069445,0,0
Rural,Low,SC,629.6998873398957,0,0
Urban,High,General,766.5915016031282,1,1
Urban,Mid,ST,627.9296540202477,1,1
Urban,High,ST,696.5210778971629,1,1
Urban,Mid,ST,550.3284548918608,0,0
Urban,Mid,General,646.834094707924,1,1
Rural,Mid,SC,726.9300893800387,1,1
Urban,Mid,OBC,698.9142905942219,1,1
Urban,Low,SC,486.49775916981537,0,0
Urban,Mid,OBC,633.6528832689847,1,1
Rural,Mid,ST,621.5326481017722,0,0
Urban,Mid,SC,706.8418010861859,1,1
Urban,Low,General,772.1856370291592,1,1
Rural,Mid,ST,771.4631338158966,1,1
Rural,High,General,741.3456471620829,1,1
Urban,Mid,SC,660.8497685642924,1,1
Urban,Low,OBC,669.2495060737691,1,1
Urban,High,SC,648.3147404872857,1,1
Urban,Mid,OBC,709.9005288514079,1,1
Urban,Mid,ST,592.8357840672178,0,0
Rural,Low,OBC,605.61832186,0,0
Urban,Mid,SC,647.2647450837422,1,1
Urban,Low,SC,682.4781722462556,1,1
Urban,Mid,OBC,681.1153733997206,1,1
Rural,High,ST,709.9915952331438,1,1
Rural,Mid,ST,625.2440095734605,0,0
Rural,Low,General,600.5683607889096,0,0
Urban,Mid,General,599.8819238066341,0,1
Rural,Mid,SC,608.7394826945241,0,0
Rural,Low,General,617.7605392854005,0,0
Rural,Low,OBC,659.8237273162345,0,0
Rural,Low,SC,624.2355079616054,0,0
Urban,Mid,General,639.3032453346327,1,1
Urban,Low,ST,614.3691633377828,0,1
Rural,Low,SC,711.5373413275856,0,0
Urban,High,General,631.5819571306922,1,0
Urban,Low,SC,615.5295772696167,0,0
Urban,Low,General,649.6502328187133,1,0
Urban,Mid,SC,617.9014602659449,0,0
Rural,High,ST,723.1250690559319,1,1
Urban,Low,SC,516.0116718281719,0,0
Urban,Mid,SC,666.2535222840992,1,1
Rural,High,OBC,658.4930496738943,0,0
Urban,Low,OBC,793.71738465268,1,1
Urban,Mid,General,593.8747704795869,0,0
Urban,Mid,General,669.8000432186114,1,1
Urban,Low,ST,577.2760076454236,0,0
Rural,Low,ST,455.55711719222427,0,0
Urban,Mid,OBC,678.5295433091877,1,1
Urban,Mid,SC,703.3686431967373,1,1
Rural,Mid,SC,685.0475503073011,1,1
